,S,iteration,R_e,I_max
309,0.25,845,2.0823529411764707,259
310,0.25,804,2.610526315789474,257
311,0.25,498,2.041322314049587,244
312,0.25,268,2.529113924050633,264
313,0.25,790,2.748299319727891,284
314,0.25,1033,2.511278195488722,258
315,0.25,474,1.9372384937238494,256
316,0.25,542,2.4027777777777777,272
317,0.25,769,3.17,252
318,0.25,156,2.293233082706767,254
319,0.25,289,1.9142857142857144,284
320,0.25,235,1.6728971962616823,255
321,0.25,874,3.561224489795918,255
322,0.25,474,2.942105263157895,254
323,0.25,857,2.9297520661157024,257
324,0.25,1199,2.7953216374269005,290
325,0.25,819,2.590308370044053,250
326,0.25,709,2.2746478873239435,236
327,0.25,401,2.40251572327044,281
328,0.25,211,2.3671875,265
329,0.25,299,2.66015625,245
330,0.25,776,2.8780487804878048,259
331,0.25,230,2.142857142857143,248
332,0.25,140,2.3491525423728814,275
333,0.25,829,3.1578947368421053,256
334,0.25,116,0.177375,279
335,0.25,507,2.4846938775510203,294
336,0.25,832,2.3381642512077296,227
337,0.25,143,2.776978417266187,254
338,0.25,862,2.4017094017094016,240
339,0.25,980,3.5217391304347827,268
340,0.25,1150,2.8205128205128207,248
341,0.25,579,3.492957746478873,244
342,0.25,862,2.9615384615384617,250
343,0.25,709,2.5099337748344372,270
344,0.25,656,2.5974025974025974,291
345,0.25,409,2.8897637795275593,279
346,0.25,851,3.303030303030303,257
347,0.25,620,3.1805555555555554,249
348,0.25,367,2.2133333333333334,266
349,0.25,753,3.2242152466367715,246
350,0.25,503,3.456692913385827,250
351,0.25,702,3.6226415094339623,242
352,0.25,999,3.1700680272108843,270
353,0.25,1079,3.011627906976744,259
354,0.25,861,2.5644444444444443,259
355,0.25,447,2.448905109489051,256
356,0.25,662,2.3958333333333335,249
357,0.25,866,2.734265734265734,282
358,0.25,786,2.9397590361445785,272
359,0.25,796,2.642405063291139,243
360,0.25,569,2.6470588235294117,268
361,0.25,550,2.8703703703703702,231
362,0.25,1433,2.527027027027027,267
363,0.25,937,3.6721311475409837,283
364,0.25,642,2.5689655172413794,272
365,0.25,325,2.3647798742138364,254
366,0.25,524,2.8662207357859533,289
367,0.25,736,2.0253164556962027,276
368,0.25,173,2.349514563106796,233
369,0.25,924,2.3137254901960786,268
370,0.25,879,3.1140350877192984,254
371,0.25,139,2.2372093023255815,242
372,0.25,1237,2.76027397260274,247
373,0.25,929,2.7761194029850746,247
374,0.25,550,2.4232365145228214,276
375,0.25,1129,2.411290322580645,250
376,0.25,576,2.704225352112676,265
377,0.25,637,2.9302325581395348,246
378,0.25,260,1.4556962025316456,237
379,0.25,784,2.4819277108433737,274
380,0.25,1330,2.305084745762712,260
381,0.25,1038,4.267857142857143,249
382,0.25,521,2.286764705882353,262
383,0.25,133,2.1864406779661016,275
384,0.25,134,2.4554794520547945,251
385,0.25,743,2.2641509433962264,231
386,0.25,614,2.3469387755102042,257
387,0.25,694,2.3793103448275863,250
388,0.25,902,3.174825174825175,274
389,0.25,451,2.5233333333333334,229
390,0.25,1005,2.659090909090909,248
391,0.25,781,3.248868778280543,265
392,0.25,671,3.5135135135135136,298
393,0.25,902,3.391304347826087,264
394,0.25,1004,2.775,289
395,0.25,560,2.6995073891625614,263
396,0.25,326,2.2046783625730995,254
397,0.25,163,2.262295081967213,260
398,0.25,1103,3.7346938775510203,261
399,0.25,1232,5.119658119658119,311
400,0.25,829,2.3875,269
401,0.25,797,3.1192660550458715,278
402,0.25,423,2.7606382978723403,262
403,0.25,985,2.262295081967213,272
404,0.25,1213,3.057471264367816,232
405,0.25,984,3.3603603603603602,249
406,0.25,560,2.8675496688741724,250
407,0.25,885,3.286624203821656,268
408,0.25,849,3.456,249
409,0.25,440,2.8135593220338984,243
410,0.25,486,2.6956521739130435,258
411,0.25,887,2.1076923076923078,271
412,0.25,1116,2.969924812030075,265
413,0.25,998,2.5555555555555554,312
414,0.25,436,1.58,260
415,0.25,433,2.587912087912088,249
416,0.25,1268,2.792,263
417,0.25,721,3.119341563786008,262
418,0.25,113,0.16725,255
419,0.25,753,2.7467248908296944,245
420,0.25,142,2.5224719101123596,238
421,0.25,884,2.85,239
422,0.25,540,2.5416666666666665,253
423,0.25,792,3.008,250
424,0.25,764,2.4285714285714284,233
425,0.25,499,2.244131455399061,232
426,0.25,978,3.027027027027027,257
427,0.25,800,2.792,250
428,0.25,212,2.1796875,224
429,0.25,154,1.7593582887700534,235
430,0.25,464,2.4574468085106385,255
431,0.25,594,2.4216867469879517,261
432,0.25,1038,3.08984375,247
433,0.25,1289,2.8521739130434782,238
434,0.25,1095,5.508771929824562,369
435,0.25,1048,3.8727272727272726,230
436,0.25,822,2.608695652173913,258
437,0.25,700,3.688311688311688,270
438,0.25,665,2.5075528700906347,272
439,0.25,514,2.7883435582822087,255
440,0.25,784,5.3478260869565215,264
441,0.25,1090,3.392857142857143,238
442,0.25,443,2.8125,242
443,0.25,583,2.4915254237288136,226
444,0.25,791,3.051813471502591,267
445,0.25,197,1.8227848101265822,271
446,0.25,866,2.230769230769231,264
447,0.25,1132,3.0330578512396693,268
448,0.25,472,2.2761194029850746,249
449,0.25,966,3.8974358974358974,255
450,0.25,554,2.4166666666666665,249
451,0.25,963,3.692982456140351,260
452,0.25,1026,2.741496598639456,252
453,0.25,120,0.16425,232
454,0.25,1193,3.7131782945736433,274
455,0.25,623,2.7335526315789473,255
456,0.25,736,2.046979865771812,241
457,0.25,440,2.5428571428571427,258
458,0.25,872,2.546153846153846,239
459,0.25,562,3.064516129032258,254
460,0.25,497,3.1699346405228757,242
461,0.25,1348,3.0638297872340425,249
462,0.25,691,2.5288461538461537,290
463,0.25,905,3.0977443609022557,235
464,0.25,746,2.2410714285714284,261
465,0.25,500,2.48125,262
466,0.25,219,1.5542168674698795,241
467,0.25,512,2.6381909547738696,265
468,0.25,633,2.6048387096774195,242
469,0.25,1240,2.7413793103448274,241
470,0.25,909,4.012820512820513,239
471,0.25,635,2.622950819672131,236
472,0.25,244,2.1944444444444446,282
473,0.25,960,3.1315789473684212,248
474,0.25,674,2.72972972972973,258
475,0.25,635,2.93359375,278
476,0.25,956,3.7777777777777777,246
477,0.25,726,3.0422535211267605,253
478,0.25,412,2.2446555819477436,249
479,0.25,667,1.9937888198757765,258
480,0.25,132,2.303405572755418,242
481,0.25,465,2.616580310880829,225
482,0.25,1096,3.1420454545454546,256
483,0.25,387,2.7476635514018692,226
484,0.25,449,2.7314814814814814,248
485,0.25,636,2.9555555555555557,271
486,0.25,120,0.21025,270
487,0.25,1164,2.514925373134328,286
488,0.25,710,2.6272189349112427,289
489,0.25,883,2.2337662337662336,239
490,0.25,704,2.4916666666666667,299
491,0.25,476,2.567510548523207,232
492,0.25,897,2.7045454545454546,232
493,0.25,929,3.6115702479338845,268
494,0.25,703,2.55045871559633,272
495,0.25,456,2.8461538461538463,283
496,0.25,506,2.60093896713615,299
497,0.25,905,3.2,282
498,0.25,625,1.9351851851851851,254
499,0.25,187,2.1835443037974684,260
500,0.5,269,2.8194444444444446,219
501,0.5,92,0.205625,211
502,0.5,142,3.9784172661870505,228
503,0.5,116,0.1755,226
504,0.5,90,0.193125,212
505,0.5,88,0.189375,222
506,0.5,671,2.854651162790698,237
507,0.5,82,0.181125,213
508,0.5,64,0.198,223
509,0.5,73,0.20125,234
510,0.5,117,0.204,217
511,0.5,95,0.20675,229
512,0.5,83,0.21875,214
513,0.5,129,5.213622291021672,226
514,0.5,63,0.214375,236
515,0.5,108,0.200625,224
516,0.5,116,0.20475,228
517,0.5,482,2.298507462686567,227
518,0.5,87,0.20175,209
519,0.5,240,2.5,226
520,0.5,105,0.2025,226
521,0.5,72,0.207875,221
522,0.5,105,0.18125,218
523,0.5,76,0.20675,233
524,0.5,102,0.193125,221
525,0.5,103,0.20025,217
526,0.5,102,0.212625,226
527,0.5,325,2.28099173553719,219
528,0.5,88,0.202125,224
529,0.5,185,2.5277777777777777,223
530,0.5,76,0.19175,235
531,0.5,69,0.182375,208
532,0.5,171,3.843137254901961,239
533,0.5,106,0.193875,220
534,0.5,63,0.211,236
535,0.5,85,0.206625,222
536,0.5,91,0.190875,227
537,0.5,104,0.197125,226
538,0.5,204,1.9,223
539,0.5,154,3.3214285714285716,228
540,0.5,109,0.208375,229
541,0.5,117,0.218625,231
542,0.5,103,0.189,220
543,0.5,100,0.180125,213
544,0.5,88,0.200875,217
545,0.5,640,2.3448275862068964,224
546,0.5,562,2.701219512195122,223
547,0.5,120,0.229375,240
548,0.5,579,2.768,231
549,0.5,185,2.90625,219
550,0.5,82,0.1955,225
551,0.5,556,2.3255813953488373,233
552,0.5,81,0.207,216
553,0.5,112,0.201375,231
554,0.5,131,5.0,220
555,0.5,459,3.2818181818181817,232
556,0.5,124,5.844765342960288,228
557,0.5,79,0.1695,203
558,0.5,80,0.229125,234
559,0.5,113,0.17775,218
560,0.5,135,5.61437908496732,224
561,0.5,117,0.203375,227
562,0.5,117,0.191,215
563,0.5,128,5.682539682539683,227
564,0.5,77,0.22975,226
565,0.5,82,0.2095,232
566,0.5,310,1.9733333333333334,218
567,0.5,82,0.2105,228
568,0.5,91,0.215125,224
569,0.5,86,0.213375,217
570,0.5,102,0.21475,233
571,0.5,104,0.20525,231
572,0.5,80,0.183375,227
573,0.5,68,0.20225,229
574,0.5,94,0.209,222
575,0.5,92,0.218625,222
576,0.5,84,0.177125,217
577,0.5,101,0.20625,232
578,0.5,81,0.21825,232
579,0.5,89,0.202875,234
580,0.5,155,4.535714285714286,225
581,0.5,102,0.200625,223
582,0.5,247,2.876190476190476,222
583,0.5,622,1.9701492537313432,214
584,0.5,267,2.3076923076923075,222
585,0.5,102,0.20025,224
586,0.5,67,0.239875,237
587,0.5,571,2.2666666666666666,229
588,0.5,77,0.19075,213
589,0.5,138,4.897637795275591,221
590,0.5,160,2.3962264150943398,215
591,0.5,78,0.1805,228
592,0.5,159,4.088495575221239,238
593,0.5,120,0.1825,234
594,0.5,106,0.2215,216
595,0.5,155,3.8266666666666667,217
596,0.5,64,0.1915,229
597,0.5,94,0.21625,226
598,0.5,96,0.19725,222
599,0.5,176,1.6699029126213591,215
